datetime,city_name,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,rain_1h,rain_3h,clouds_all,weather_description,solar conversion,solar availaible household,total solar
02-04-2017 17:00,Delhi,285.15,284.15,286.15,1032,76,4,230,0,0,40,scattered clouds,80%,15.776,19.72
02-04-2017 18:00,Delhi,284.75,283.15,286.15,1033,76,4,240,0,0,40,scattered clouds,80%,15.776,19.72
02-04-2017 19:00,Delhi,283.16,282.15,284.15,1032,87,4,240,0,0,75,broken clouds,50%,9.86,19.72
02-04-2017 20:00,Delhi,282.34,282.15,283.15,1032,87,3,240,0,0,20,few clouds,25%,4.93,19.72
02-04-2017 21:00,Delhi,282.14,281.15,283.15,1032,87,4,230,0,0,75,broken clouds,50%,9.86,19.72
02-04-2017 22:00,Delhi,281.58,281.15,282.15,1032,87,2,140,0,0,0,sky is clear,100%,19.72,19.72
02-04-2017 23:00,Delhi,281.13,280.15,282.15,1032,87,3,160,0,0,0,sky is clear,100%,19.72,19.72
03-04-2017 00:00,Delhi,279.58,279.15,280.15,1032,100,3,150,0,0,0,sky is clear,100%,19.72,19.72
03-04-2017 01:00,Delhi,280.64,280.15,281.15,1032,93,3,140,0,0,0,sky is clear,100%,19.72,19.72
03-04-2017 02:00,Delhi,280.15,280.15,280.15,1032,100,2,140,0,0,0,sky is clear,100%,19.72,19.72
03-04-2017 03:00,Delhi,280.66,280.15,281.15,1031,100,2,150,0,0,64,broken clouds,50%,9.86,19.72
03-04-2017 04:00,Delhi,280.74,280.15,281.15,1031,100,1,140,0,0,40,mist,15%,2.958,19.72
03-04-2017 05:00,Delhi,281.15,281.15,281.15,1031,100,2,130,0,0,40,mist,15%,2.958,19.72
03-04-2017 06:00,Delhi,280.68,279.15,282.15,1031,100,1,0,0,0,40,mist,15%,2.958,19.72
03-04-2017 07:00,Delhi,280.87,279.15,282.15,1031,100,1,360,0,0,75,fog,20%,3.944,19.72
03-04-2017 08:00,Delhi,280.87,279.15,282.15,1031,100,1,360,0,0,75,mist,15%,2.958,19.72
03-04-2017 09:00,Delhi,281.65,280.15,282.15,1032,93,5,230,0,0,40,fog,20%,3.944,19.72
03-04-2017 10:00,Delhi,281.65,280.15,282.15,1032,93,5,230,0,0,40,mist,15%,2.958,19.72
03-04-2017 11:00,Delhi,281.34,280.15,282.15,1033,100,1,0,0,0,90,fog,20%,3.944,19.72
03-04-2017 12:00,Delhi,281.34,280.15,282.15,1033,100,1,0,0,0,90,mist,15%,2.958,19.72
03-04-2017 13:00,Delhi,281.83,281.15,282.15,1032,100,1,160,0,0,90,mist,15%,2.958,19.72
03-04-2017 14:00,Delhi,281.83,281.15,282.15,1032,100,1,160,0,0,90,fog,20%,3.944,19.72
03-04-2017 15:00,Delhi,282.55,282.15,283.15,1033,100,7,250,0,0,90,fog,20%,3.944,19.72
03-04-2017 16:00,Delhi,282.55,282.15,283.15,1033,100,7,250,0,0,90,mist,15%,2.958,19.72
03-04-2017 17:00,Delhi,283.15,282.15,284.15,1033,100,6,250,0,0,90,fog,20%,3.944,19.72
03-04-2017 18:00,Delhi,283.15,282.15,284.15,1033,100,6,250,0,0,90,mist,15%,2.958,19.72
03-04-2017 19:00,Delhi,283.75,283.15,285.15,1034,100,6,240,0,0,90,fog,20%,3.944,19.72
03-04-2017 20:00,Delhi,285.15,284.15,286.15,1033,87,4,220,0,0,40,mist,15%,2.958,19.72
03-04-2017 21:00,Delhi,285.15,284.15,286.15,1033,87,4,220,0,0,40,fog,20%,3.944,19.72
03-04-2017 22:00,Delhi,285.54,284.15,287.15,1032,76,4,220,0,0,20,few clouds,25%,4.93,19.72
03-04-2017 23:00,Delhi,286.65,285.15,287.15,1031,82,5,180,0,0,20,few clouds,25%,4.93,19.72
04-04-2017 00:00,Delhi,286.37,284.15,288.15,1031,87,5,220,0,0,40,scattered clouds,80%,15.776,19.72
04-04-2017 01:00,Delhi,285.78,284.15,288.15,1031,93,3,240,0,0,40,scattered clouds,80%,15.776,19.72
04-04-2017 02:00,Delhi,283.76,283.15,284.15,1031,93,4,230,0,0,40,scattered clouds,80%,15.776,19.72
04-04-2017 03:00,Delhi,283.15,283.15,283.15,1031,100,3,180,0,0,20,few clouds,25%,4.93,19.72
04-04-2017 04:00,Delhi,282.64,282.15,283.15,1031,100,2,170,0,0,20,few clouds,25%,4.93,19.72
04-04-2017 05:00,Delhi,283.15,283.15,283.15,1030,100,3,180,0,0,20,few clouds,25%,4.93,19.72
04-04-2017 06:00,Delhi,282.15,282.15,282.15,1031,100,0,0,0,0,40,scattered clouds,80%,15.776,19.72
04-04-2017 07:00,Delhi,281.66,281.15,282.15,1031,100,1,150,0,0,20,few clouds,25%,4.93,19.72
04-04-2017 08:00,Delhi,280.1,279.15,281.15,1030,100,2,160,0,0,20,mist,15%,2.958,19.72
04-04-2017 09:00,Delhi,280.1,279.15,281.15,1030,100,2,160,0,0,20,fog,20%,3.944,19.72
04-04-2017 10:00,Delhi,280.26,279.15,281.15,1030,100,0,250,0,0,20,mist,15%,2.958,19.72
04-04-2017 11:00,Delhi,280.26,279.15,281.15,1030,100,0,250,0,0,20,fog,20%,3.944,19.72
04-04-2017 12:00,Delhi,280.15,280.15,280.15,1030,100,1,340,0,0,90,fog,20%,3.944,19.72
04-04-2017 13:00,Delhi,280.72,280.15,281.15,1029,100,0,310,0,0,90,fog,20%,3.944,19.72
04-04-2017 14:00,Delhi,280.66,280.15,281.15,1029,100,2,225,0,0,90,fog,20%,3.944,19.72
04-04-2017 15:00,Delhi,281.15,281.15,281.15,1028,100,1,50,0,0,90,fog,20%,3.944,19.72
04-04-2017 16:00,Delhi,281.85,281.15,282.15,1028,100,0,0,0,0,75,fog,20%,3.944,19.72
04-04-2017 17:00,Delhi,281.85,281.15,282.15,1028,100,0,0,0,0,75,mist,15%,2.958,19.72
04-04-2017 18:00,Delhi,282.15,282.15,282.15,1028,100,4,240,0,0,90,fog,20%,3.944,19.72
04-04-2017 19:00,Delhi,282.15,282.15,282.15,1028,100,4,240,0,0,90,mist,15%,2.958,19.72
04-04-2017 20:00,Delhi,282.15,282.15,282.15,1028,100,3,220,0,0,90,fog,20%,3.944,19.72
04-04-2017 21:00,Delhi,282.15,282.15,282.15,1028,100,3,220,0,0,90,mist,15%,2.958,19.72
04-04-2017 22:00,Delhi,281.36,278.15,283.15,1028,100,3,230,0,0,90,fog,20%,3.944,19.72
04-04-2017 23:00,Delhi,281.36,278.15,283.15,1028,100,3,230,0,0,90,mist,15%,2.958,19.72
05-04-2017 00:00,Delhi,281.92,278.15,283.15,1029,100,4,230,0,0,75,mist,15%,2.958,19.72
05-04-2017 01:00,Delhi,281.92,278.15,283.15,1029,100,4,230,0,0,75,fog,20%,3.944,19.72
05-04-2017 02:00,Delhi,282.94,279.15,284.15,1029,100,3,250,0,0,75,fog,20%,3.944,19.72
05-04-2017 03:00,Delhi,283.93,281.15,285.15,1028,93,3,220,0,0,75,fog,20%,3.944,19.72
05-04-2017 04:00,Delhi,285.33,282.15,287.15,1027,76,5,240,0,0,75,fog,20%,3.944,19.72
05-04-2017 05:00,Delhi,286.94,285.15,288.15,1026,76,5,230,0,0,40,scattered clouds,80%,15.776,19.72
05-04-2017 06:00,Delhi,287.35,286.15,288.15,1025,76,5,220,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 07:00,Delhi,286.55,285.15,287.15,1024,71,6,220,0,0,20,few clouds,25%,4.93,19.72
05-04-2017 08:00,Delhi,285.96,284.15,287.15,1024,76,5,230,0,0,20,few clouds,25%,4.93,19.72
05-04-2017 09:00,Delhi,284.53,282.15,286.15,1024,81,4,230,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 10:00,Delhi,283.74,282.15,285.15,1024,87,5,240,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 11:00,Delhi,283.38,283.15,284.15,1023,87,5,240,0,0,20,few clouds,25%,4.93,19.72
05-04-2017 12:00,Delhi,283.01,282.15,284.15,1023,87,6,240,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 13:00,Delhi,283.58,283.15,284.15,1023,87,4,240,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 14:00,Delhi,283.13,282.15,284.15,1022,87,4,220,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 15:00,Delhi,281.58,281.15,282.15,1021,93,3,190,0,0,0,sky is clear,100%,19.72,19.72
05-04-2017 16:00,Delhi,282.01,281.15,283.15,1020,87,4,220,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 17:00,Delhi,282.58,282.15,283.15,1019,87,5,210,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 18:00,Delhi,282.64,282.15,283.15,1019,87,3,200,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 19:00,Delhi,282.15,282.15,282.15,1017,93,2,170,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 20:00,Delhi,282.58,282.15,283.15,1016,87,4,200,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 21:00,Delhi,283.15,283.15,283.15,1016,81,7,200,0,0,75,broken clouds,50%,9.86,19.72
05-04-2017 22:00,Delhi,282.15,282.15,282.15,1016,87,5,220,0,0,90,overcast clouds,30%,5.916,19.72
05-04-2017 23:00,Delhi,282.15,282.15,282.15,1015,87,5,210,0,0,75,broken clouds,50%,9.86,19.72
06-04-2017 00:00,Delhi,281.72,279.15,283.15,1015,81,5,210,0,0,90,overcast clouds,30%,5.916,19.72
06-04-2017 01:00,Delhi,281.72,279.15,283.15,1015,87,3,190,0,0,90,overcast clouds,30%,5.916,19.72
06-04-2017 02:00,Delhi,282.14,279.15,283.15,1014,87,4,200,0,0,75,broken clouds,50%,9.86,19.72
06-04-2017 03:00,Delhi,283.11,279.15,285.15,1013,71,6,210,0,0,75,broken clouds,50%,9.86,19.72
06-04-2017 04:00,Delhi,283.53,280.15,285.15,1011,71,5,200,0,0,90,overcast clouds,30%,5.916,19.72
06-04-2017 05:00,Delhi,283.74,280.15,285.15,1010,71,6,210,0,0,90,overcast clouds,30%,5.916,19.72
06-04-2017 06:00,Delhi,283.36,280.15,285.15,1009,87,4,200,0,0,90,overcast clouds,30%,5.916,19.72
06-04-2017 07:00,Delhi,282.74,280.15,284.15,1009,93,4,200,0.9,0,90,moderate rain,10%,1.972,19.72
06-04-2017 08:00,Delhi,281.95,279.15,283.15,1008,93,4,200,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 09:00,Delhi,282.15,282.15,282.15,1004,100,3,170,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 10:00,Delhi,278.15,278.15,278.15,1002,93,5,10,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 11:00,Delhi,278.15,278.15,278.15,1001,93,2,60,0.3,0,40,light intensity drizzle,16%,3.1552,19.72
06-04-2017 12:00,Delhi,277.72,277.15,278.15,1000,100,3,60,0,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 13:00,Delhi,277.15,277.15,277.15,999,100,3,70,0,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 14:00,Delhi,277.39,277.15,278.15,999,86,2,330,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
06-04-2017 15:00,Delhi,276.9,276.15,277.15,998,86,3,360,0.9,0,90,light intensity drizzle,16%,3.1552,19.72
06-04-2017 16:00,Delhi,276.74,274.15,278.15,995,93,1,310,0.9,0,90,light intensity drizzle,17.89%,3.527908,19.72
06-04-2017 17:00,Delhi,276.11,275.15,277.15,996,86,2,270,0.9,0,75,light intensity drizzle,15.46%,3.048712,19.72
06-04-2017 18:00,Delhi,276.58,276.15,277.15,996,86,2,300,0,0,75,light intensity drizzle,19%,3.821736,19.72
06-04-2017 19:00,Delhi,276.15,276.15,276.15,996,93,3,330,0.3,0,75,light intensity drizzle,16.91%,3.334652,19.72
06-04-2017 20:00,Delhi,276.15,276.15,276.15,996,93,2,320,0,0,75,light intensity drizzle,21.30%,4.20036,19.72
06-04-2017 21:00,Delhi,274.83,274.15,275.15,996,100,2,340,0.3,0,75,light intensity drizzle,22.26%,4.389672,19.72
06-04-2017 22:00,Delhi,276.14,274.15,278.15,999,86,4,90,0.3,0,75,light intensity drizzle,16.37%,3.228164,19.72
06-04-2017 23:00,Delhi,276.15,274.15,277.15,999,93,4,90,0,0,75,light intensity drizzle,22.40%,4.41728,19.72
07-04-2017 00:00,Delhi,276.15,274.15,278.15,1000,93,5,100,0,0,75,light intensity drizzle,21.47%,4.233884,19.72
07-04-2017 01:00,Delhi,275.73,273.15,277.15,1001,93,5,110,0.3,0,75,light intensity drizzle,24%,4.689416,19.72
07-04-2017 02:00,Delhi,277.15,277.15,277.15,1018,86,2,200,0.9,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 03:00,Delhi,276.17,275.15,277.15,1018,100,2,360,0.9,0,75,light intensity drizzle,24%,4.738716,19.72
07-04-2017 04:00,Delhi,275.72,275.15,276.15,1018,100,2,350,0,0,75,light intensity drizzle,18%,3.565376,19.72
07-04-2017 05:00,Delhi,275.72,275.15,276.15,1018,100,2,340,0,0,90,light intensity drizzle,17%,3.4017,19.72
07-04-2017 06:00,Delhi,276.15,276.15,276.15,1018,100,2,340,0,0,90,light intensity drizzle,15.78%,3.111816,19.72
07-04-2017 07:00,Delhi,275.61,275.15,276.15,1017,100,0,10,0,0,75,light intensity drizzle,16%,3.1552,19.72
07-04-2017 08:00,Delhi,275.63,275.15,276.15,1018,100,0,6,0,0,75,light intensity drizzle,16%,3.1552,19.72
07-04-2017 09:00,Delhi,276.41,276.15,277.15,1018,100,0,6,0,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 10:00,Delhi,275.93,273.15,277.15,1018,100,0,210,0,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 11:00,Delhi,278.55,275.15,280.15,1018,100,5,240,0,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 12:00,Delhi,278.93,276.15,280.15,1018,93,6,230,0,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 13:00,Delhi,279.72,277.15,281.15,1018,93,5,230,0,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 14:00,Delhi,275.13,273.15,276.15,1016,100,0,0,0.3,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 15:00,Delhi,274.94,273.15,276.15,1017,100,2,250,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
07-04-2017 16:00,Delhi,281.15,281.15,281.15,1017,87,3,210,0.3,0,90,light intensity drizzle,16%,3.1552,19.72
07-04-2017 17:00,Delhi,279.93,278.15,281.15,1017,93,4,230,0.3,0,75,light intensity drizzle,16%,3.1552,19.72
07-04-2017 18:00,Delhi,279.64,279.15,280.15,1016,93,2,250,0,0,40,light intensity drizzle,16%,3.1552,19.72
07-04-2017 19:00,Delhi,277.45,277.15,278.15,1008,80,4,350,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
07-04-2017 20:00,Delhi,277.15,277.15,277.15,1008,86,2,350,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
07-04-2017 21:00,Delhi,274.55,273.15,275.15,1007,100,3,360,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
07-04-2017 22:00,Delhi,276.15,276.15,276.15,1007,93,2,50,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
07-04-2017 23:00,Delhi,275.14,273.15,276.15,1004,94,2,50,0.9,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 00:00,Delhi,275.15,275.15,275.15,1007,100,2,20,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 01:00,Delhi,283.58,283.15,284.15,1017,66,6,250,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 02:00,Delhi,276.14,275.15,277.15,1003,100,0,0,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 03:00,Delhi,276.34,276.15,277.15,1003,86,1,180,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 04:00,Delhi,276.74,274.15,278.15,1002,86,3,180,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 05:00,Delhi,276.53,273.15,278.15,1003,93,2,220,0.9,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 06:00,Delhi,280.74,278.15,283.15,993,93,4,190,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 07:00,Delhi,283.12,280.15,284.15,993,93,4,190,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 08:00,Delhi,283.53,281.15,285.15,993,100,3,200,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 09:00,Delhi,282.45,282.15,283.15,989,93,6,160,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 10:00,Delhi,282.15,282.15,282.15,988,93,4,150,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 11:00,Delhi,278.15,278.15,278.15,999,93,4,150,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 12:00,Delhi,279.15,279.15,279.15,999,93,2,120,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 13:00,Delhi,280.15,280.15,280.15,994,93,1,0,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 14:00,Delhi,282.34,279.15,284.15,1000,81,2,200,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 15:00,Delhi,280.72,280.15,281.15,996,100,2,120,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 16:00,Delhi,278.73,276.15,280.15,994,87,2,180,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 17:00,Delhi,278.93,276.15,280.15,994,93,4,190,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 18:00,Delhi,279.89,279.15,280.15,993,87,3,170,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 19:00,Delhi,279.32,276.15,281.15,993,87,4,210,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 20:00,Delhi,280.35,278.15,281.15,994,87,4,240,0.9,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 21:00,Delhi,278.39,278.15,279.15,1000,93,7,220,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 22:00,Delhi,277.72,275.15,279.15,1001,93,4,190,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
08-04-2017 23:00,Delhi,277.95,276.15,279.15,1001,93,3,170,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 00:00,Delhi,278.15,278.15,278.15,1007,93,2,360,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 01:00,Delhi,278.15,278.15,278.15,1008,100,2,360,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 02:00,Delhi,283.15,283.15,283.15,1011,87,0,90,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 03:00,Delhi,283.45,283.15,284.15,1012,87,1,160,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 04:00,Delhi,282.58,282.15,283.15,1013,100,1,180,0,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 05:00,Delhi,283.15,283.15,283.15,1013,100,1,130,0,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 06:00,Delhi,283.35,281.15,284.15,1013,87,3,130,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 07:00,Delhi,284.13,281.15,285.15,1013,87,4,160,0.9,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 08:00,Delhi,283.93,281.15,285.15,1010,100,3,150,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 09:00,Delhi,285.15,285.15,285.15,1008,100,6,190,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 10:00,Delhi,285.15,285.15,285.15,1008,100,3,170,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 11:00,Delhi,279.91,279.15,280.15,1002,87,9,230,0.3,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 12:00,Delhi,280.15,280.15,280.15,1015,100,2,140,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 13:00,Delhi,279.32,277.15,280.15,1015,93,2,190,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 14:00,Delhi,280.72,278.15,282.15,1016,93,3,220,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 15:00,Delhi,284.51,281.15,286.15,1004,87,7,160,0.9,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 16:00,Delhi,280.15,280.15,280.15,1000,100,4,190,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 17:00,Delhi,280.47,280.15,281.15,1000,87,7,220,0.3,0,40,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 18:00,Delhi,278.93,276.15,280.15,1000,87,8,230,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 19:00,Delhi,277.65,277.15,278.15,1001,93,3,210,0.9,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 20:00,Delhi,277.95,275.15,279.15,1009,86,8,230,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 21:00,Delhi,278.75,276.15,280.15,1006,100,6,230,3,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 22:00,Delhi,279.13,277.15,280.15,1005,100,5,250,3,0,90,light intensity drizzle,16.00%,3.1552,19.72
09-04-2017 23:00,Delhi,283.13,281.15,284.15,1010,87,6,210,3,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 00:00,Delhi,283.58,283.15,284.15,1003,87,6,210,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 01:00,Delhi,283.15,283.15,283.15,1000,87,10,230,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 02:00,Delhi,278.91,278.15,280.15,1006,86,5,280,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 03:00,Delhi,280.2,279.15,281.15,1004,75,7,220,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 04:00,Delhi,285.15,285.15,285.15,1008,87,4,200,0.3,0,75,light intensity drizzle,16.00%,3.1552,19.72
10-04-2017 05:00,Delhi,284.58,284.15,285.15,1008,93,3,180,0,0,75,light intensity drizzle,16.00%,3.1552,19.72
